setup,year,groupSize,noLinks,groupID,dist_mean,dist_max,shape,gIDpy,SEED,ROOTING,RESOURCES,GRAFTING
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,4,4,gID_16,0.927489053693931,1.31972418804536,1.33333333333333,gID_65,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,6,5,gID_9,2.60133084603936,3.66850493652747,1,gID_29,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,450.083333333333,2,1,gID_1,3.57433221337091,3.57433221337091,1,gID_2,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,450.083333333333,2,1,gID_2,1.28262850476335,1.28262850476335,1,gID_6,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,450.083333333333,2,1,gID_3,3.7598567192638,3.7598567192638,1,gID_8,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,450.083333333333,2,1,gID_6,2.88395361230676,2.88395361230676,1,gID_22,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,450.083333333333,2,1,gID_7,1.95984312546556,1.95984312546556,1,gID_34,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,450.083333333333,3,2,gID_4,2.8669025648659,3.25099056252389,1,gID_15,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,450.083333333333,5,4,gID_5,3.02992400503929,3.66850493652747,1,gID_20,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,500.083333333333,2,1,gID_3,2.88395361230676,2.88395361230676,1,gID_15,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,500.083333333333,2,1,gID_4,1.95984312546556,1.95984312546556,1,gID_22,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,500.083333333333,3,2,gID_1,4.63053630489621,5.10066230625219,1,gID_9,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,500.083333333333,4,3,gID_2,3.84656462403967,4.06810389157583,1,gID_16,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,2,1,gID_1,4.14629883833187,4.14629883833187,1,gID_11,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,2,1,gID_10,0.834654730728657,0.834654730728657,1,gID_57,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,2,1,gID_11,0.696574925038904,0.696574925038904,1,gID_60,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,2,1,gID_2,4.16041030354023,4.16041030354023,1,gID_5,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,2,1,gID_4,3.47778381796609,3.47778381796609,1,gID_10,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,2,1,gID_5,1.95984312546556,1.95984312546556,1,gID_15,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,2,1,gID_6,0.800422022421621,0.800422022421621,1,gID_50,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,2,1,gID_7,1.25315722045871,1.25315722045871,1,gID_40,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,2,1,gID_8,1.03518397386192,1.03518397386192,1,gID_39,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,2,1,gID_9,0.943028975671896,0.943028975671896,1,gID_41,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,3,2,gID_3,3.93484841404917,4.98574321579158,1,gID_9,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,600,2,1,gID_3,1.60438895758123,1.60438895758123,1,gID_24,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,600,2,1,gID_4,0.955914143748457,0.955914143748457,1,gID_36,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,600,2,1,gID_5,1.20762586012645,1.20762586012645,1,gID_43,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,600,2,1,gID_7,1.13829939114388,1.13829939114388,1,gID_46,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,600,2,1,gID_8,0.669810286220306,0.669810286220306,1,gID_54,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,600,3,2,gID_1,3.93484841404917,4.98574321579158,1,gID_6,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,600,3,2,gID_2,2.3427020699753,2.55904851574072,1,gID_21,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,600,3,2,gID_6,1.17519135551388,1.20566044571308,1,gID_41,18782,2,0,0
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,400.083333333333,2,1,gID_3,2.71536339365018,2.71536339365018,1,gID_33,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,400.083333333333,2,1,gID_4,0.639583517732539,0.639583517732539,1,gID_38,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,400.083333333333,3,2,gID_2,3.81885189790364,5.08082426171165,1,gID_30,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,400.083333333333,29,48,gID_1,5.3252761296827,7.9449455108779,1.71428571428571,gID_1,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333,2,1,gID_10,0.675520436499486,0.675520436499486,1,gID_49,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333,2,1,gID_4,5.81672673625023,5.81672673625023,1,gID_20,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333,2,1,gID_7,0.890648862115977,0.890648862115977,1,gID_36,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333,2,1,gID_8,0.429932733340576,0.429932733340576,1,gID_43,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333,2,1,gID_9,0.791238336855928,0.791238336855928,1,gID_42,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333,3,2,gID_3,3.85187530161673,5.3559768914243,1,gID_12,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333,3,3,gID_6,1.02705908481615,1.2691025768093,1.5,gID_34,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333,4,4,gID_5,1.7567095049252,2.46807062650519,1.33333333333333,gID_30,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333,5,4,gID_2,5.55885261507729,7.67070852682071,1,gID_6,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333,18,20,gID_1,4.88624411937431,7.74598999862747,1.17647058823529,gID_18,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333,2,1,gID_4,2.03731392940648,2.03731392940648,1,gID_18,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333,2,1,gID_6,1.8528854910727,1.8528854910727,1,gID_32,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333,3,2,gID_7,1.71153481530196,2.53107318688561,1,gID_37,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333,3,3,gID_3,5.02373879909777,7.43351260148605,1.5,gID_12,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333,3,3,gID_5,2.69802367151316,3.28435608348371,1.5,gID_24,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333,4,3,gID_8,1.73051053372499,1.74358132227665,1,gID_41,18782,0,0,1
setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333,5,4,gID_2,5.68418005566639,5.82115930786237,1,gID_14,18782,0,0,1
